price,timestamp,name,color
30000,2021-12-31 00:41:03,TerraGroup Labs arsenal storage room key,gold
31000,2021-12-31 00:41:03,TerraGroup Labs arsenal storage room key,gold
32000,2021-12-31 00:41:03,TerraGroup Labs arsenal storage room key,gold
32999,2021-12-31 00:41:03,TerraGroup Labs arsenal storage room key,gold
33555,2021-12-31 00:41:03,TerraGroup Labs arsenal storage room key,gold
34420,2021-12-31 00:41:03,TerraGroup Labs arsenal storage room key,gold
2999980,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
2999999,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3050000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3090000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3095000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3100000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3150000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3196999,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3199999,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3200000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3300000,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
3348888,2021-12-31 01:44:25,TerraGroup Labs keycard (Violet),gold
55000,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
55000,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
56666,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
60000,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
65000,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
100000,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
160000,2021-12-31 01:46:28,TerraGroup Labs weapon testing area key,gold
92999,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
93000,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
93998,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
93998,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
93999,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
94000,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
95555,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
96000,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
97000,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
97420,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
98000,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
98000,2021-12-31 04:06:14,TerraGroup Labs manager's office room key,gold
30000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
30000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
30000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
30000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
31000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
31111,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
32000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
32999,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
33555,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
34420,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
35000,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
35200,2021-12-31 04:36:56,TerraGroup Labs arsenal storage room key,gold
2990000,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
3000000,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
3000000,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
3150000,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
3196999,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
3200000,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
3420000,2021-12-31 06:07:02,TerraGroup Labs keycard (Violet),gold
46000,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
47999,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
48899,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
49999,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
50000,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
54000,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
55000,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
57000,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
58000,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
58888,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
58999,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
59999,2021-12-31 06:10:15,TerraGroup Labs weapon testing area key,gold
72000,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
73333,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
73900,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
74000,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
74999,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
75000,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
79999,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
79999,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
79999,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
80000,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
83000,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
83500,2021-12-31 07:11:02,TerraGroup Labs manager's office room key,gold
29999,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
31111,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
31111,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
32999,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
34420,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
34999,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
35000,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
40000,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
42987,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
110000,2021-12-31 07:42:01,TerraGroup Labs arsenal storage room key,gold
595999,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
598898,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
599999,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
600000,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
700000,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
777776,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
777777,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
779999,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
1000000,2021-12-31 09:05:34,TerraGroup Labs keycard (Yellow),gold
3000000,2021-12-31 09:44:54,TerraGroup Labs keycard (Violet),gold
3200000,2021-12-31 09:44:54,TerraGroup Labs keycard (Violet),gold
3395959,2021-12-31 09:44:54,TerraGroup Labs keycard (Violet),gold
